"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Phlebotomus perniciosus (Murcia) - GCA_918844115.1","Diptera","13204","pperniciosus_illum_n82538_165Mb","GCA_918844115.1","-","-","-","","","-"
"","Pocillopora damicornis (RSMAS) - GCA_003704095.1","Cnidaria","46731","GCA003704095v1","GCA_003704095.1","-","-","-","","","-"
"","Pogonomyrmex barbatus (Red harvester ant) - GCA_000187915.1","Hymenoptera","144034","Pbar_UMD_V03","GCA_000187915.1","-","-","-","","-","-"
"","Pollicipes pollicipes (Goose neck barnacle, AB1234) - GCA_011947565.2","Crustacea","41117","Ppol_2","GCA_011947565.2","-","-","-","","","-"
"","Pomacea canaliculata (SZHN2017) - GCA_003073045.1","Mollusca","400727","GCA003073045v1","GCA_003073045.1","-","-","-","","","-"
"","Pomphorhynchus laevis (P. laevis sensulato, Thorny-headed worm, GPI110) - GCA_012934845.2","Metazoa","141832","GCA012934845v2","GCA_012934845.2","-","-","-","","-","-"
"","Portunus trituberculatus (Swimming crab, SZX2019) - GCA_017591435.1","Crustacea","210409","GCA017591435v1","GCA_017591435.1","-","-","-","","","-"
"","Priapulus caudatus (Penis worm) - GCA_000485595.2","Metazoa","37621","Priapulus_caudatus-5.0.1","GCA_000485595.2","-","-","-","","","-"
"","Pristionchus pacificus (PRJNA12644)","Nematoda","54126","El_Paco_fix","GCA_000180635.3","-","-","-","","","-"
"","Procambarus clarkii (Red swamp crayfish, Jiangsu) - GCA_020424385.2","Crustacea","6728","GCA020424385v2","GCA_020424385.2","-","-","-","","","-"
"","Rhagoletis pomonella (Grant_MI) - GCA_013731165.1","Diptera","28610","Rhpom_1.0","GCA_013731165.1","-","-","-","","","-"
"","Rhipicephalus microplus (Rmic-2018)","Chelicerata","6941","GCA013339725v1","GCA_013339725.1","-","-","-","","","-"
"","Rhipicephalus sanguineus (Rsan-2018)","Chelicerata","34632","GCA013339695v1","GCA_013339695.1","-","-","-","","","-"
"","Rhodnius prolixus","Hemiptera","13249","RproC3","GCA_000181055.3","-","-","-","","","-"
"","Rhopalosiphum maidis (BTI-1) - GCA_003676215.3","Hemiptera","43146","GCA003676215v3","GCA_003676215.3","-","-","-","","","-"
"","Saccoglossus kowalevskii (Acorn worm) - GCA_000003605.1","Metazoa","10224","GCA000003605v1","GCA_000003605.1","-","-","-","","","-"
"","Sarcoptes scabiei (SSS_KF_BRIS2020)","Chelicerata","52283","GCA014595675v1","GCA_014595675.1","-","-","-","","","-"
"","Schistosoma haematobium (Urinary blood fluke) - GCA_000699445.2","Platyhelminthes","6185","SchHae_2.0","GCA_000699445.2","-","-","-","","-","-"
"","Schistosoma mansoni (PRJEA36577)","Platyhelminthes","6183","Smansoni_v7","GCA_000237925.3","-","-","-","","",""
"","Sipha flava (LNK) - GCA_003268045.1","Hemiptera","143950","YSA_version1","GCA_003268045.1","-","-","-","","","-"
"","Solenopsis invicta (M01_SB)","Hymenoptera","13686","UNIL_Sinv_3.0","GCA_016802725.1","-","-","","","","-"
"","Stegodyphus dumicola (Social spider, AA2019) - GCA_010614865.2","Chelicerata","202533","GCA010614865v2","GCA_010614865.2","-","-","-","","-","-"
"","Stegodyphus mimosarum","Chelicerata","407821","Stegodyphus_mimosarum_v1","GCA_000611955.2","-","-","-","","",""
"","Stomoxys calcitrans","Diptera","35570","ScalU1","GCA_001015335.1","-","-","","","","-"
"","Strigamia maritima","Myriapoda","126957","Smar1","GCA_000239455.1","-","-","-","","",""
"","Strongylocentrotus purpuratus (Spur 01)","Echinodermata","7668","Spur_5.0","GCA_000002235.4","-","-","-","","",""
"","Strongyloides ratti (PRJEB125)","Nematoda","34506","S_ratti_ED321_v5_0_4","GCA_001040885.1","-","-","-","","","-"
"","Stylophora pistillata (CSM Monaco) - GCA_002571385.1","Cnidaria","50429","Stylophora_pistillata_v1","GCA_002571385.1","-","-","-","","","-"
"","Teleopsis dalmanni (2A)","Diptera","139649","GCA002237135v2","GCA_002237135.2","-","-","-","","","-"
"","Tetranychus urticae","Chelicerata","32264","ASM23943v1","GCA_000239435.1","-","-","-","","",""
"","Thelohanellus kitauei","Cnidaria","669202","ASM82789v1","GCA_000827895.1","-","-","-","","","-"
"","Tigriopus californicus (San Diego)","Crustacea","6832","Tcal_SD_v2.1","GCA_007210705.1","-","-","-","","","-"
"","Trialeurodes vaporariorum (IVF)","Hemiptera","88556","GCA011764245v1","GCA_011764245.1","-","-","-","","","-"
"","Tribolium castaneum","Coleoptera","7070","Tcas5.2","GCA_000002335.3","-","-","-","","",""
"","Trichinella spiralis","Nematoda","6334","Tspiralis1","GCA_000181795.2","-","-","-","","","-"
"","Trichogramma pretiosum (Unisexual culture from Peru) - GCA_000599845.3","Hymenoptera","7493","Tpre_2.0","GCA_000599845.3","-","-","-","","","-"
"","Trichoplax adhaerens","Placozoa","10228","ASM15027v1","GCA_000150275.1","-","-","-","","",""
"","Trichuris muris (PRJEB126)","Nematoda","70415","TMUE3.0","GCA_000612645.2","-","-","-","","","-"
"","Varroa destructor","Chelicerata","109461","Vdes_3.0","GCA_002443255.1","-","-","-","","","-"
"","Zootermopsis nevadensis","Metazoa","136037","ZooNev1.0","GCA_000696155.1","-","-","-","","",""
