"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Candida albicans P34048","Saccharomycetales","1094991","Cand_albi_P34048_V1","GCA_000775465.1","-","-","-","","-","-"
"","Candida albicans P37005","Saccharomycetales","1094985","Cand_albi_P37005_V2","GCA_000773745.1","-","-","-","","-","-"
"","Candida albicans P37037","Saccharomycetales","1094992","Cand_albi_P37037_V1","GCA_000773825.1","-","-","-","","-","-"
"","Candida albicans P37039","Saccharomycetales","1094993","Cand_albi_P37039_V1","GCA_000784515.1","-","-","-","","-","-"
"","Candida albicans P57055","Saccharomycetales","1094996","Cand_albi_P57055_V1","GCA_000775505.1","-","-","-","","-","-"
"","Candida albicans P57072","Saccharomycetales","1094990","Cand_albi_P57072_V1","GCA_000773805.1","-","-","-","","-","-"
"","Candida albicans P60002","Saccharomycetales","1094986","Cand_albi_P60002_V1","GCA_000784525.1","-","-","-","","-","-"
"","Candida albicans P75010","Saccharomycetales","1094994","Cand_albi_P75010_V1","GCA_000784575.1","-","-","-","","-","-"
"","Candida albicans P75016","Saccharomycetales","1094995","Cand_albi_P75016_V1","GCA_000784595.1","-","-","-","","-","-"
"","Candida albicans P75063","Saccharomycetales","1094997","Cand_albi_P75063_V1","GCA_000775525.1","-","-","-","","-","-"
"","Candida albicans P76055","Saccharomycetales","1094998","Cand_albi_P76055_V1","GCA_000784505.1","-","-","-","","-","-"
"","Candida albicans P76067","Saccharomycetales","1094999","Cand_albi_P76067_V1","GCA_000784495.1","-","-","-","","-","-"
"","Candida albicans P78042","Saccharomycetales","1095000","Cand_albi_P78042_V1","GCA_000784615.1","-","-","-","","-","-"
"","Candida albicans P78048","Saccharomycetales","1094989","Cand_albi_P78048_V1","GCA_000773725.1","-","-","-","","-","-"
"","Candida albicans P87","Saccharomycetales","1094984","Cand_albi_P87_V2","GCA_000774085.1","-","-","-","","-","-"
"","Candida albicans P94015","Saccharomycetales","1094983","Cand_albi_P94015_V1","GCA_000773755.1","-","-","-","","-","-"
"","Candida albicans SC5314","Saccharomycetales","237561","Cand_albi_SC5314_V3","GCA_000784655.1","-","-","-","","-","-"
"","Candida albicans SC5314","Saccharomycetales","237561","Cand_albi_SC5314_V4","GCA_000784635.1","-","-","-","","-","-"
"","Candida albicans WO-1","Saccharomycetales","294748","ASM14944v2","GCA_000149445.2","-","-","-","","-","-"
"","Candida auris","Saccharomycetales","498019","GCA002759435v2","GCA_002759435.2","-","-","-","","","-"
"","Candida dubliniensis CD36","Saccharomycetales","573826","ASM2694v1","GCA_000026945.1","-","-","-","","-","-"
"","Candida duobushaemulonis","Saccharomycetales","1231522","GCA002926085v1","GCA_002926085.1","-","-","-","","","-"
"","Candida glabrata","Saccharomycetales","284593","GCA000002545v2","GCA_000002545.2","-","-","-","","","-"
"","Candida maltosa Xu316","Saccharomycetales","1245528","Cmaltosa_v01","GCA_000344705.1","-","-","-","","-","-"
"","Candida orthopsilosis Co 90-125","Saccharomycetales","1136231","ASM31587v1","GCA_000315875.1","-","-","-","","-","-"
"","Candida parapsilosis","Saccharomycetales","578454","GCA000182765v2","GCA_000182765.2","-","-","-","","","-"
"","Candida tropicalis","Saccharomycetales","294747","GCA000006335v3","GCA_000006335.3","-","-","-","","","-"
"","Candida viswanathii str. ATCC 20962","Saccharomycetales","5486","ASM332773v1","GCA_003327735.1","-","-","-","","-","-"
"","Capronia coronata CBS 617.96","Chaetothyriomycetidae","1182541","Capr_coro_CBS_617_96_V1","GCA_000585585.1","-","-","-","","-","-"
"","Capronia epimyces CBS 606.96","Chaetothyriomycetidae","1182542","Capr_epim_CBS_606_96_V1","GCA_000585565.1","-","-","-","","","-"
"","Caulochytrium protostelioides str. ATCC 52028","Chytridiomycota","1555241","Caupr_SCcomb","GCA_003615035.1","-","-","-","","-","-"
"","Caulochytrium protostelioides str. ATCC 52028","Chytridiomycota","1555241","Caupr1","GCA_003615045.1","-","-","-","","-","-"
"","Cenococcum geophilum 1.58","Dothideomycetes","794803","Cenococcum_geophilum_1.58_v2.0","GCA_001692895.1","-","-","-","","-","-"
"","Ceraceosorus bombacis","Fungi","401625","Ceraceosorus_bombacis","GCA_900000165.1","-","-","-","","-","-"
"","Ceraceosorus guamensis str. MCA 4658","Fungi","1522189","Cersp1","GCA_003144195.1","-","-","-","","","-"
"","Ceratobasidium theobromae str. CT2","Cantharellales","1582974","ASM907832v1","GCA_009078325.1","-","-","-","","-","-"
